SIFRA,"IME_VOLISCA"
108023,"Krajevna skupnost Lenart, Sv. Lenart 21, Selca"
108024,"Osnovna šola Bukovščica, Bukovščica 4, Selca"
108025,"Osnovna šola Bukovica, Bukovica 20, Selca"
109001,"Rudnik Žirovski vrh-TODRAŽ, Todraž 1, Gorenja vas"
109002,"Sokolski dom GORENJA VAS-mala dvorana,Poljan.c.87"
109003,"Gasilski dom HOTAVLJE, Hotavlje 112, Gorenja vas"
109004,"Osnovna šola LESKOVICA, Leskovica 1, Gorenja vas"
109005,"Osnovna šola JAVORJE, Javorje 6, Poljane"
109006,"Kulturni dom LUČINE, Lučine 11a, Gorenja vas"
109007,"Gasilski dom TREBIJA, Trebija 4, Gorenja vas"
109008,"Stavba ob župnišču v STARI OSELICI,St.Oselica 33"
109009,"Kulturni dom POLJANE-pisarna Kraj.skup,Poljane 77"
109010,"Demšar Slavko, Dolenje Brdo 7, Poljane"
109011,"Šola MALENSKI VRH, Malenski Vrh 14, Poljane"
109012,"Kulturna dvorana SOVODENJ, Sovodenj 23, Sovodenj"
109013,"Etnografski muzej DAVČA, Davča 25 a, Železniki"
109014,"Objekt na športnrm igrišču v Dolenji vasi, Selca"
109015,"Osnovna šola DRAŽGOŠE, Dražgoše 35, Železniki"
109016,"Gasilski dom RUDNO, Rudno 5, Železniki"
109017,"Osnovna šola SELCA, Selca 95, Selca"
109018,"Berce Mirko, Lajše 12, Selca"
109019,"Krajevna skupnost SORICA,Spodnja Sorica 16,Sorica"
109020,"Kulturni dom ŽELEZNIKI, Trnje 39, Železniki"
109021,"Osnovna šola ŽELEZNIKI, Otoki 13, Železniki"
109022,"Restavracija LUŠINA, Češnjica 54, Železniki"
109023,"Kulturni dom ZALI LOG, Zali Log 46 a, Železniki"
109024,"Objekt pri šoli v PODLONKU, Železniki"
109025,"Osnovna šola MARTINJ VRH,Martinj vrh 21,Železniki"
109026,"OŠ Žiri-večnam.prostor-novi d.,Jobstova c.22,Žiri"
109027,"Družbeni dom Partizan ŽIRI, Loška c. 17, Žiri"
109028,"Zadružni dom ŽIRI,avla dvorane,Trg svobode 6,Žiri"
109029,"Trgovina na SELU, Selo 2, Žiri"
109030,"Gasilski dom BREKOVICE, Brekovice 14, Žiri"
109031,"Gasilski dom RAČEVA, Račeva 41, Žiri"
109032,"Gasilski dom DOBRAČEVA, Loška c. 64, Žiri"
110001,"KRAJEVNI DOM MOTNIK"
110002,"KULTURNI DOM ŠPITALIČ"
110003,"KULTURNA DVORANA LAZE"
110004,"KULTURNI DOM ŠMARTNO"
110005,"KS PŠAJNOVICA, Mali Rakitovec 15"
110006,"PROSTORI KS SREDNJA VAS"
110007,"PODRUŽNIČNA ŠOLA SELA PRI KAMNIKU"
110008,"OSNOVNA ŠOLA FRANA ALBREHTA, podružnica NEVLJE"
110010,"OSNOVNA ŠOLA FRANA ALBREHTA, podruž. VRANJA PEČ"
110011,"KS GODIČ"
110013,"OSNOVNA ŠOLA STRANJE, podružnica GOZD"
110015,"OSNOVNA ŠOLA STRANJE"
110016,"ŠKD MEKINJE"
110017,"OSNOVNA ŠOLA FRANA ALBREHTA, podružnica TUNJICE"
110018,"OSNOVNA ŠOLA MARIJE VERE"
110019,"OSNOVNA ŠOLA MARIJE VERE"
110020,"KULTURNI DOM ŠMARCA"
110021,"KULTURNI DOM VOLČJI POTOK"
110022,"OBČINA KAMNIK, Glavni trg 24"
110023,"GIMNAZIJA IN SREDNJA ŠOLA RUDOLFA MAISTRA KAMNIK"
110024,"VRTEC SNEGULJČICA, Kovinarska cesta 11"
110025,"KULTURNI DOM PODGORJE"
110026,"OSNOVNA ŠOLA FRANA ALBREHTA, Šolska ulica 1"
110027,"GASILSKI DOM KRIŽ"
